Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
base,2601L,1.73311346148486,1.72688025625712,1.65887197398438,1.81082861455317,0.0212114336062825,1.71190202787858,1.75432489509114,1.77761682615678,1.72688025625712,1.81082861455317,1.70656592044498,1.65887197398438,1.72485368807974
base,1297L,1.74413889786024,1.75654630530703,1.63735332342214,1.82338698835423,0.0253604975701232,1.71877840029011,1.76949939543036,1.78250513753869,1.75654630530703,1.82338698835423,1.70275196623191,1.63735332342214,1.75188038525856
base,1296L,2.06254434196177,2.06150756115681,1.87335050704427,2.18210065301041,0.0386570486594366,2.02388729330233,2.1012013906212,2.13103610686934,2.06150756115681,2.18210065301041,2.0196475418236,1.87335050704427,2.05744917429658
base,1295L,1.61469471462169,1.61797424667413,1.58171463213716,1.6447302105741,0.00924682563357012,1.60544788898812,1.62394154025526,1.63166697480017,1.61797424667413,1.6447302105741,1.59668576019979,1.58171463213716,1.60778745677966
base,1293L,1.61990954532772,1.6197090284631,1.56908228528738,1.68503517675003,0.0154903234300375,1.60441922189769,1.63539986875776,1.64147128927372,1.6197090284631,1.68503517675003,1.59120196082861,1.56908228528738,1.61936654132292
base,1278L,1.73268082775669,1.73164121099967,1.61158096021298,1.81485752972494,0.0256349902549892,1.7070458375017,1.75831581801168,1.76690009705803,1.73164121099967,1.81485752972494,1.72355777602769,1.61158096021298,1.7314952892177
base,1269L,1.97404864045982,1.98708047104912,1.82693152422505,2.17509516173742,0.0397511060397001,1.93429753442012,2.01379974649952,2.04324228362662,1.98708047104912,2.17509516173742,1.91945627801315,1.82693152422505,1.98242666790029
base,1262L,1.78417468331611,1.78505629538188,1.69582638697347,1.87792869347205,0.0208718222909025,1.7633028610252,1.80504650560701,1.82467295571743,1.78505629538188,1.87792869347205,1.75513043629721,1.69582638697347,1.77904506679524
base,1251L,1.64990899356929,1.64795620222349,1.52906122840046,1.73488133374262,0.0220160352145477,1.62789295835474,1.67192502878384,1.67815386483219,1.64795620222349,1.73488133374262,1.63245718446457,1.52906122840046,1.64523588556726
base,1233L,1.98828930358368,2.00990159907326,1.82915576331971,2.10932908389807,0.0379731139451792,1.9503161896385,2.02626241752886,2.07164565974077,2.00990159907326,2.10932908389807,1.92279819572799,1.82915576331971,1.99843500728033
base,1232L,1.7802404108744,1.78510496592762,1.65330594190552,1.92543134690171,0.0294578739332479,1.75078253694115,1.80969828480765,1.81053733338722,1.78510496592762,1.92543134690171,1.75239355024522,1.65330594190552,1.78405313075362
base,1231L,1.69672325286084,1.70954683617863,1.63014724882582,1.77141741087125,0.0226646733468586,1.67405857951398,1.7193879262077,1.73189304711149,1.70954683617863,1.77141741087125,1.65232014901421,1.63014724882582,1.7081004562737
base,1226L,1.91722644554267,1.91381320213709,1.78873182960881,2.00060790100067,0.0280998284904061,1.88912661705227,1.94532627403308,1.97506451666818,1.91381320213709,2.00060790100067,1.87026228919698,1.78873182960881,1.91284883278963
base,1211L,1.57800975666568,1.59062004004181,1.49819471079651,1.65021611365173,0.0197029456161061,1.55830681104958,1.59771270228179,1.61308233613073,1.59062004004181,1.65021611365173,1.54110587076897,1.49819471079651,1.58838841511324
base,1210L,1.41385086818511,1.41896384673399,1.36243704810137,1.46444574180271,0.0115373856398122,1.40231348254529,1.42538825382492,1.4286323347182,1.41896384673399,1.46444574180271,1.39972327859168,1.36243704810137,1.41848673131544
base,1209L,1.57618162209192,1.57044368728362,1.48583505743866,1.65994291291149,0.0206579778474471,1.55552364424447,1.59683959993937,1.6152184206918,1.57044368728362,1.65994291291149,1.55430841866864,1.48583505743866,1.5662122564701
